id_municipio_endereco,qtd_vacinados,qtd_primeira_dose,qtd_segunda_dose
2112803,108358,54621,46447
2400208,169458,83362,73420
4308805,34828,15300,14481
2407203,83746,39501,36281
5201405,1482490,744451,649923
4311775,30599,13325,12594
2101707,129435,67892,55931
4124053,77545,38293,34639
4209409,158603,72614,68806
2608255,38515,18812,17137
3522505,802069,398142,377472
2501807,224238,116378,95542
3502200,106440,53125,48573
3155603,79242,39809,34263
3139805,52894,23897,22711
4316105,43547,18619,18031
3114402,74675,34034,32045
2511301,57440,25843,24588
5213707,23502,11175,10293
1505486,48354,25631,20128
2904308,31924,17093,13032
3535804,84146,39561,39193
3549409,247291,108766,113199
2501575,26414,12580,11298
3517505,82537,36204,39506
3532405,91282,41371,43781
3555604,48059,20152,22422
4126603,68576,33535,31285
1507706,36806,21104,14931
3204005,76492,34993,31908
3506805,50191,21307,24123
3553500,34562,14026,18072
1706001,11566,5714,4883
5220009,30720,15508,13793
3517000,49430,24611,21466
2203404,18282,8811,7905
2201945,18397,9326,8069
3303807,61480,36226,22853
3514700,29980,13518,13721
1304062,78370,44373,30857
4217204,167250,76683,73909
3104809,18837,8617,8171
2403301,18104,8416,8015
2905107,27164,14203,11140
3103405,115896,53922,50662
3141603,40707,18270,17533
4311908,20052,8945,8582
4310900,17022,7325,7197
3114303,125830,57408,54625
1501758,18589,9303,8097
3162559,28394,14473,12501
3121803,28848,13108,12229
2101004,62909,32954,26121
3134103,20332,9602,8797
5103304,48479,24495,21146
4214607,26411,12320,11727
2929701,47655,24656,20267
2413607,22751,10711,10101
4311643,5716,2630,2536
3118106,15781,7519,7069
2207751,11771,5899,5181
1706258,4594,2186,1943
1715002,10580,5241,4525
3103603,9951,4626,4088
2111722,13706,6987,5867
4112603,4491,2132,2027
3143708,10007,4948,4328
5204250,31747,14714,13615
5209408,9754,5215,4045
2915403,15472,7432,6473
3154150,15812,7899,6730
4315008,18201,8316,8007
3107000,10957,4642,4501
3151206,167335,81525,75643
3106200,9868176,4435448,4184610
2104800,142935,73275,61277
2408003,913060,426276,391473
4104907,239624,118730,109285
4125605,135465,64409,61245
3127107,157632,77927,68682
3201902,155148,70119,65766
3524006,237043,109242,116035
1501501,157671,80184,68618
3305109,1004263,519136,433011
3528502,321040,142794,155176
3302601,192075,90643,81780
4305116,13270,5862,5745
1503507,82702,40101,35685
3518701,1216487,567601,552339
2305357,84378,44756,32421
1100098,73774,37410,32639
5003207,310637,147988,141636
5002902,96264,42905,40876
3133105,58987,27557,26337
3145851,21883,10258,9563
3141504,23827,11092,10494
3544202,38523,18462,17950
3162807,48241,23404,21086
2615904,31310,14804,13324
1500503,98453,48914,42739
3553401,128462,55760,59611
3547304,536831,240439,259081
3300225,55486,25566,23756
4103453,67633,33224,30705
3509957,17417,7671,8758
1100809,49859,25129,21049
3301603,26497,14030,11461
2905404,33820,17028,14325
5205513,66030,33025,28848
3556206,488336,213797,236829
3547106,15453,6775,7699
3500758,26561,13000,12125
3521101,20198,8854,9800
2208809,42978,21625,19225
3101904,75389,35550,33109
2932606,43219,21985,20001
2924306,73386,34014,32004
3302304,16622,8811,7003
2804904,39160,19189,17340
3503000,34695,16024,16520
3521150,32347,14833,15084
3519204,28278,11463,13892
5205000,32129,15560,14285
5203559,34200,16565,14746
5217302,86866,41253,37770
3554953,32767,14471,15869
2203206,35780,17393,15962
2203008,20059,9669,8716
2210953,9995,4700,4465
4308458,24371,9862,9376
3547502,128623,54881,59935
3527900,11982,5021,5943
2201988,8496,4579,3874
4218509,29492,13868,13155
4211702,84667,39997,37403
4216354,10977,5055,4816
2304277,18026,9038,8182
2312205,137504,69475,55451
2707305,62327,32099,26768
3112406,31786,14157,13731
3118007,221422,102960,97945
4303608,15159,8137,6902
5204953,14601,7186,6370
1505031,45940,25931,20067
4103057,28928,14425,12660
4113908,44355,20999,19595
3150802,59057,27891,25147
3112000,62958,28607,27998
3100500,32935,15988,14365
2932804,46859,22927,19691
2919009,14511,6890,6507
2106607,92290,43921,39407
2101350,15178,7523,6904
2106508,55085,26993,23397
3129301,40692,18629,17987
2513158,20813,10684,8907
5107768,12358,5940,5893
2705804,24473,12490,10965
5100359,11872,5767,5131
3158201,50519,23707,22066
5221080,8957,3917,3599
4219853,14834,6932,6552
4210407,23631,11176,10405
3148301,31637,14312,13427
2804706,21701,10318,9627
5214879,9218,4353,4012
4308433,9988,4376,4239
2612901,31313,14727,13408
2803401,33107,17163,14314
2611705,72128,35631,31718
2509909,28147,13546,12221
3515657,11504,4916,5092
4115853,20872,9836,9215
2311207,32677,15005,12816
2208601,10956,5060,4794
3127404,17381,7996,8071
4211454,15814,7553,7154
5215405,16220,7588,7030
4305871,12070,5198,5009
3130556,16311,8086,6850
3140530,23228,10924,10055
4301859,11516,5292,5039
2405504,8456,4006,3680
2104651,21832,10681,9574
2103208,171125,86760,75996
4314035,16331,7427,7059
3162104,141150,67653,61266
3169307,260976,122087,114163
1507904,46008,25130,19813
3122009,73831,35081,32819
3123007,34976,16582,15624
3548708,3317898,1433615,1593018
2902708,111213,59246,47689
4218202,158786,76674,71813
2933604,120418,64480,54246
3541406,963081,431737,453060
3506102,388247,149028,207323
2615003,45878,25939,19204
2308302,101906,48320,41411
3154903,46974,22258,20582
4115705,89174,43775,39061
1100049,242504,119076,104794
2105005,39459,22238,16092
5107065,61424,32314,27063
5213103,171459,89222,75274
2615607,77056,38812,32212
4205704,100269,49071,44532
3108255,33208,15184,14923
5210000,200550,96086,89467
5221577,10846,4953,4740
4310330,99821,46365,41854
1600303,709298,401559,281473
1501006,24955,12954,10664
3100609,38599,18399,16899
3306156,37531,17795,16208
2708600,148013,73905,64918
3127388,17022,7816,7141
3514601,42818,19427,20245
3522703,161038,69985,77328
4104105,26261,13424,11708
2905206,186277,87545,84076
3531803,202596,93290,100214
3121902,15351,7574,6712
3149309,182451,89262,79748
4314779,14031,6458,6098
4319505,80931,37584,34734
2803302,44921,22789,19645
4107702,13374,6703,6387
3540754,71316,32324,34986
2925907,76609,37386,34339
1300144,24592,12418,10080
2203602,15462,7628,7085
2201556,12908,6414,5889
4313656,53938,25467,22537
2913309,20693,9869,9180
2413409,25214,12137,11180
2412906,37362,17632,16201
3511201,37699,15905,18292
3146008,101605,48036,44281
3536406,36048,15159,18733
3155702,47328,22378,21426
3105004,28794,13651,12576
5209150,14890,7324,6539
1717800,11453,5434,4874
2606705,29493,13207,12840
3160306,33955,16032,14578
1502756,74207,36368,32031
