ano,turno,id_municipio,sigla_partido,id_candidato_bd,resultado,QTD_CANDIDATOS_MUN,FL_SITUACAO,FL_OPOSICAO,PORC_VOTOS,QTD_CANDIDATOS_MUN_1,SOMA_OPOSICAO,SOMA_SITUACAO
2020,1,4313425,PP,255435,eleito,2,1,0,0.5598052851,2,1,1
2020,1,4313425,PT,308325,nao eleito,2,0,1,0.4401947149,2,1,1
2020,1,2209401,PP,858927,eleito,2,1,0,0.6249265138,2,1,1
2020,1,2209401,PSB,1234222,nao eleito,2,0,1,0.3750734862,2,1,1
2020,1,2403905,PL,1773024,nao eleito,2,1,0,0.2366281558,2,1,1
2020,1,2403905,PSB,1343269,eleito,2,0,1,0.7633718442,2,1,1
2020,1,2614808,MDB,1438243,eleito,2,1,0,0.5771932447,2,1,1
2020,1,2614808,PSB,795554,nao eleito,2,0,1,0.4228067553,2,1,1
2020,1,4303202,PDT,185870,eleito,2,0,1,0.5042808219,2,1,1
2020,1,4303202,MDB,290199,nao eleito,2,1,0,0.4957191781,2,1,1
2020,1,4312708,PP,916809,eleito,2,1,0,0.5125601978,2,1,1
2020,1,4312708,PDT,198605,nao eleito,2,0,1,0.4874398022,2,1,1
2020,1,3120151,PT,920835,eleito,2,0,1,0.5916620652,2,1,1
2020,1,3120151,PTB,250522,nao eleito,2,1,0,0.4083379348,2,1,1
2020,1,3136959,PT,891832,eleito,2,0,1,0.5576476058,2,1,1
2020,1,3136959,DEM,988436,nao eleito,2,1,0,0.4423523942,2,1,1
2020,1,3516507,PSB,820103,nao eleito,2,0,1,0.3852941176,2,1,1
2020,1,3516507,PSDB,1310386,eleito,2,1,0,0.6147058824,2,1,1
2020,1,4124608,PSB,514046,nao eleito,2,0,1,0.4674731796,2,1,1
2020,1,4124608,PSD,859936,eleito,2,1,0,0.5325268204,2,1,1
2020,1,4302204,PT,1773407,nao eleito,2,0,1,0.4621322762,2,1,1
2020,1,4302204,MDB,841326,eleito,2,1,0,0.5378677238,2,1,1
2020,1,4310876,PP,1639579,eleito,2,1,0,0.5689939527,2,1,1
2020,1,4310876,PDT,818322,nao eleito,2,0,1,0.4310060473,2,1,1
2020,1,5201405,MDB,888713,eleito,2,1,0,0.9880181704,2,1,1
2020,1,5201405,PSOL,913558,nao eleito,2,0,1,0.0119818296,2,1,1
2020,1,2303907,PDT,104073,eleito,2,0,1,0.9913726994,2,1,1
